host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
52590431,Bruno,Copacabana,Entire home/apt,1116,1,7,1,365
15311839,Rose,Copacabana,Entire home/apt,500,7,0,4,363
8975746,Laura,Copacabana,Entire home/apt,1112,3,0,40,364
70668128,Jacqueline,Copacabana,Entire home/apt,1089,15,0,1,177
114877442,Eliane,Copacabana,Private room,192,1,0,2,365
206936060,Paulo,Copacabana,Entire home/apt,169,4,0,1,354
10562212,Luiz Fernando,Copacabana,Entire home/apt,131,3,4,1,299
182971411,Rosane,Copacabana,Entire home/apt,131,3,5,2,164
23141333,Kai,Copacabana,Entire home/apt,255,2,7,2,84
171256195,Andre,Copacabana,Entire home/apt,218,2,0,15,139
62531913,Renata,Copacabana,Private room,79,2,0,2,364
69104114,Marcel,Copacabana,Private room,94,2,13,1,65
80055342,Eliana,Copacabana,Entire home/apt,222,3,0,4,257
91654021,Daniel,Copacabana,Entire home/apt,278,2,0,213,340
10712658,Manfred,Copacabana,Entire home/apt,999,60,1,14,0
15635229,Carlos,Copacabana,Entire home/apt,1014,3,7,3,300
81739205,Joao,Copacabana,Entire home/apt,300,5,1,2,0
26093368,Wallace,Copacabana,Entire home/apt,800,5,0,1,89
198910828,André,Copacabana,Entire home/apt,800,3,1,4,336
12869355,Allan,Copacabana,Entire home/apt,199,3,0,4,322
15010837,Marcus,Copacabana,Entire home/apt,800,3,0,1,365
3413189,Chad,Copacabana,Entire home/apt,545,3,0,57,364
20568689,Lilliane,Copacabana,Entire home/apt,1878,3,0,2,363
72536853,Cezar,Copacabana,Entire home/apt,368,4,9,5,159
83089976,Sergio&Marlene,Copacabana,Entire home/apt,98,3,8,1,72
40047720,José,Copacabana,Entire home/apt,500,5,1,2,365
5291353,Luiz Rogério,Copacabana,Entire home/apt,744,1,0,1,365
4307081,Nereu A,Copacabana,Entire home/apt,526,5,0,55,365
84234504,Sueli,Copacabana,Entire home/apt,601,2,3,1,332
